time_casa;time_visitante;total_gols_casa;total_gols_visitante;total_gols_jogo;total_escanteios_casa;total_escanteios_visitante;total_cartoes_amarelos_casa;total_cartoes_vermelhos_casa;total_cartoes_amarelos_visitante;total_cartoes_vermelhos_visitante;chutes_casa;chutes_visitanes;chutes_no_gol_casa;chutes_no_gol_visitante;chutes_fora_do_gol_casa;chutes_fora_do_gol_visitante;faltas_time_casa;faltas_time_visitante;posse_de_bola_casa;posse_de_bola_visitante;liga;qtd_torcedores;mes;dia;ano;key_home;key_away
abc;palmeiras;3;2;5;2;9;4;0;2;0;5;11;4;4;1;7;22;15;52;48;brazilcopa;15636;10;5;2013;abc_bra;palmeiras_bra
saocaetano;paysandu;3;1;4;7;10;2;1;5;1;13;13;3;4;10;9;12;19;51;49;brazilserie;434;10;6;2013;saocaetano_bra;paysandu_bra
bragantino;americamineiro;0;1;1;6;9;3;0;4;0;11;12;6;5;5;7;23;22;50;50;brazilpaulista;842;10;6;2013;bragantino_bra;americamineiro_bra
oeste;icasa;0;0;0;9;3;3;0;2;0;19;10;6;6;13;4;16;16;47;53;brazilserie;561;10;8;2013;oeste_bra;icasa_bra
americamineiro;chapecoense;1;1;2;3;5;1;0;2;0;12;6;6;5;6;1;17;15;51;49;brazilserie;708;10;8;2013;americamineiro_bra;chapecoense_bra
palmeiras;figueirense;4;0;4;3;3;2;0;4;0;5;9;0;5;5;4;18;25;51;49;southamerica;15705;10;8;2013;palmeiras_bra;figueirense_bra
atleticogo;asa;5;1;6;9;6;1;0;2;1;8;8;5;5;3;3;16;14;51;49;southamerica;862;10;8;2013;atleticogo_bra;asa_bra
guaratingueta;saocaetano;3;2;5;2;5;2;0;2;0;6;13;0;4;6;9;15;12;47;53;brazilserie;1120;10;8;2013;guaratingueta_bra;saocaetano_bra
avai;sportrecife;1;0;1;9;9;2;0;3;1;14;5;7;2;7;3;13;19;51;49;brazilcopa;11019;10;9;2013;avai_bra;sportrecife_bra
joinville;abc;1;2;3;13;2;1;0;7;2;14;5;9;0;5;5;16;25;48;52;brazilserie;6472;10;9;2013;joinville_bra;abc_bra
ceara;bragantino;5;3;8;3;4;1;0;3;0;5;4;4;3;1;1;19;15;47;53;southamerica;15091;10;9;2013;ceara_bra;bragantino_bra
americarn;parana;4;1;5;7;7;1;0;2;0;13;12;3;7;10;5;19;20;49;51;brazilcopa;1888;10;9;2013;americarn_bra;parana_bra
paysandu;boa;0;0;0;8;5;5;0;2;0;13;6;6;2;7;4;21;21;49;51;brazilcopa;5556;10;9;2013;paysandu_bra;boa_bra
americamineiro;boa;0;0;0;0;2;1;0;3;0;13;10;7;8;6;2;17;30;48;52;brazilserie;1008;10;11;2013;americamineiro_bra;boa_bra
